headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.note.0|metadata.mods.note.1|metadata.mods.note.1#text|metadata.mods.note.1@displayLabel|metadata.mods.note.2#text|metadata.mods.note.2@displayLabel|metadata.mods.originInfodateOther|metadata.mods.physicalDescriptioninternetMediaType|metadata.mods.subject.0topic|metadata.mods.subject.1topic|metadata.mods.subject.2topic|metadata.mods.subject.3topic|metadata.mods.subject.4topic|metadata.mods.subject.5topic|metadata.mods.subject.6topic|metadata.mods.subject.7topic|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modstypeOfResource
2020-08-11T23:30:48Z|kintner_39|kintner|image|dct|7764-7765|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A39|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A39/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"From High Rocks to Fontana Lake / ""30 Jul hiked from Forney Creek back to dam."""|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |1975 July 30|image/jpeg|High Rocks|Fontana Lake|    |    |    |    |    |    |    |View from High Rocks to Fontana Lake|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_4|kintner|image|dct|1356-1358|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A4|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A4/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|uncaptioned|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |circa 1968|image/jpeg|    |    |    |    |    |    |    |    |    |Panorama taken from an unidentified fire tower|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_56|kintner|image|dct|6949-6950|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A56|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A56/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|Telephoto shot of Parson Bald from Gregory|Two frame telephoto panorama with a view of Parson Bald from Gregory Bald.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|1974 December 10|image/jpeg|Parson Bald|Gregory Bald|    |    |    |    |    |    |    |Telephoto shot of Parson Bald|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_12|kintner|image|dct|3711-3713-annotated|local|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A12|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A12/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|From Cove Mountain Looking Southeast: Mt Le Conte, Bull Head, Newfound Gap, and Mt Mingus.|Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing, viewing Rocky Spur on the left and Mount Mingus on the right.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|February 20, 1972|image/jpeg|Cove Mountain|Mount Le Conte|Bullhead|Newfound Gap|Mount Mingus|Rocky Spur|Cove Mountain|Annotated|    |Looking Southeast from Cove Mountain ? Annotated|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_26|kintner|image|dct|6257-6264|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A26|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A26/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|Hike to Shuckstack where there was a little frost.|Panorama taken looking West from the Shuckstack Fire Tower, which is still standing.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|February 23, 1974|image/jpeg|Shuckstack|Snow and ice|    |    |    |    |    |    |    |View of Little Shuckstack|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_5|kintner|image|dct|1357-1358|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A5|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A5/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|We had lunch on top of Hangover.  You can see Clingmans Dome, 30 miles away!|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |February 1981|image/jpeg|    |    |    |    |    |    |    |    |Clingmans Dome|On top of the Hangover|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_13|kintner|image|dct|3711-3713|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A13|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A13/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|From Cove Mountain Looking Southeast: Mt Le Conte, Bull Head, Newfound Gap, and Mt Mingus.|Panorama taken looking Southeast from the Cove Mountain Fire Tower, which is still standing, viewing Rocky Spur on the left and Mount Mingus on the right.|    |    |This object was added to the Digital Preservation Network in November 2017.|dpn|February 20, 1972|image/jpeg|Cove Mountain|Mount Le Conte|Bullhead|Newfound Gap|Mount Mingus|Rocky Spur|Cove Mountain|    |    |Looking Southeast from Cove Mountain|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_34|kintner|image|dct|7721-7723|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A34|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A34/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"Early morning on Kephart Prong / ""23 Jul 1975, Kephart Pr Sweat Heifer, AT, Richland Mtn, Grassy Br."""|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |1975 July 23|image/jpeg|    |    |    |    |    |    |    |    |Kephart Prong|Early morning on Kephart Prong|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_47|kintner|image|dct|8391-8392|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A47|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A47/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|"Clingman's Dome from Thomas Divide Trail / ""9 Feb 1976 hiked Newton Bald, Thomas Divide"""|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |1976 February 9|image/jpeg|Clingmans Dome|Thomas Divide|    |    |    |    |    |    |    |View of Clingman's Dome from the Thomas Divide Trail|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
2020-08-11T23:30:48Z|kintner_16|kintner|image|dct|3727-3729|issn|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A16|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/kintner%3A16/datastream/TN/view|preview|creator|text|Elgin P. Kintner, M.D.|From Cove Mountain Looking Southwest: Round Top and Townsend.|    |This object was added to the Digital Preservation Network in November 2017.|dpn|    |    |February 20, 1972|image/jpeg|Cove Mountain|Round Top|Townsend|    |    |    |    |    |    |Looking Southwest from Cove Mountain|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|Images in the collection are protected by copyright. Contact smokies@utk.edu for permission to reproduce images from the collection.|still image
